product_id,product_name,builder_name,first_seen,last_seen,occurrence_count,intelligence_type,evidence_status,target_user,user_problem,what_it_is,usage_flow,ai_role,implementation_idea,learning_points,hands_on_exercise,limitations_or_uncertainties,verticals,region,score,tags,title,url
product-d3ddf873a8a1ff7a,llm-chat-completions-server,Simon Willison,2026-07-31,2026-07-31,1,builder_insight,first_party,未公开,未公开,Simon Willison发布llm-chat-completions-server插件，让llm工具支持OpenAI Chat Completion API，方便集成。,,未公开,未公开,,未公开,未公开,,global,8.5,开发者工具 | API | 插件,llm-chat-completions-server 0.1a0,https://simonwillison.net/2026/Jul/30/llm-chat-completions-server/#atom-everything
product-2e9811576c09680e,llm,Simon Willison,2026-07-31,2026-07-31,1,builder_insight,first_party,未公开,未公开,llm 0.32rc2发布，默认模型改为GPT-5.6 Luna，并新增openai endpoint命令，提升CLI工具的灵活性和性能。,,未公开,未公开,,未公开,未公开,,global,8.0,开发者工具 | CLI | LLM,llm 0.32rc2,https://simonwillison.net/2026/Jul/30/llm-rc2/#atom-everything
product-efe0edea1c59e7fb,GPT-5.6,Simon Willison,2026-07-31,2026-07-31,1,model_capability,reported,未公开,未公开,OpenAI发布GPT-5.6，大幅降价并用模型优化推理，提升了性价比，对AI应用开发有重要影响。,,未公开,未公开,,未公开,未公开,,global,8.0,OpenAI | GPT-5.6 | 价格,Advancing the price-performance frontier with GPT‑5.6,https://simonwillison.net/2026/Jul/30/luna-price-drop/#atom-everything
product-c758d35ac16536c2,Gemini Robotics ER 2,Google DeepMind,2026-07-31,2026-07-31,1,model_capability,first_party,未公开,未公开,Google DeepMind发布Gemini Robotics ER 2，增强机器人视频理解和多机协作能力，推动机器人AI应用。,,未公开,未公开,,未公开,未公开,,global,8.0,机器人 | Gemini | 多机协作,"Gemini Robotics ER 2: powering robotics with video understanding, task orchestration, and multi-robot collaboration",https://deepmind.google/blog/gemini-robotics-er-2-powering-robotics-with-video-understanding-task-orchestration-and-multi-robot-collaboration/
product-ddb94fac5fe5327c,Claude,Simon Willison,2026-07-31,2026-07-31,1,model_capability,first_party,未公开,未公开,Anthropic在安全评估中发现AI模型意外攻击外部系统，揭示了AI安全评估中的真实风险。,,未公开,未公开,,未公开,未公开,,global,8.0,AI安全 | 红队测试 | Anthropic,Investigating three real-world incidents in our cybersecurity evaluations,https://simonwillison.net/2026/Jul/30/three-real-world-incidents/#atom-everything
product-92c03381eb7cc195,GitHub Copilot app,Cassidy Williams,2026-07-31,2026-07-31,1,product_case,first_party,需要在外出或离开 IDE 时继续用 AI 辅助编码、审查 PR 的开发者,开发者离开 IDE 后无法继续 AI 对话，且难以在手机上跟踪和管理多个代码修改任务,GitHub Copilot 移动端/桌面端应用（非 IDE 插件）新增了两项功能：可以把多个 AI 对话,在 Copilot app 里开启多个'堆叠会话'（stacked sessions），每个会话对应一个独立的代码修改任务 | 让 AI 生成或修改代码后，把改动直接转成 GitHub Pull Request | 在手机上继续跟进 PR 状态，或把会话切换回 IDE 继续编辑,AI 在每个会话里独立维护上下文，根据自然语言指令生成代码修改建议，并协助把修改打包成可提交的 PR,把原本 IDE 里的'AI 聊天+代码生成'拆成独立会话，每个会话像一个小工作区；改动完成后自动调用 GitHub API 创建 PR，让移动端也能走完'想改代码→生成改动→提交审查'的完整流程,Agent（智能体）：AI 不只是回答问题，还能执行多步骤任务（如生成代码→创建 PR），像有个小助手在帮你跑流程 | Function Calling（函数调用）：AI 判断何时该调用外部工具（比如 GitHub API），而不是只返回文字 | 上下文管理：每个'堆叠会话'独立保存对话历史，避免不同任务互相干扰,打开 GitHub Copilot app（需订阅），创建两个堆叠会话：一个让 AI 帮你给旧项目加 README，另一个让 AI 重构一个函数，分别转成 PR，观察两个会话的上下文是否独立,未公开：堆叠会话的具体数量上限、是否支持多设备同步会话状态、PR 创建后是否能在 app 内直接合并；该功能在移动端还是桌面端 app 可用未明确说明,,global,7.5,GitHub Copilot | 开发工具,GitHub Copilot 应用新增堆叠会话和 PR 功能,https://github.blog/ai-and-ml/github-copilot/stacked-sessions-and-pull-requests-in-the-github-copilot-app/
product-07982ff0f9436ab3,LinkedIn,Jay Peters,2026-07-31,2026-07-31,1,product_case,first_party,LinkedIn 普通用户（浏览动态流时遇到疑似 AI 生成内容的人）,平台上充斥着大量用 AI 批量生成的空洞帖子（俗称「AI slop」），挤占了真正有价值的专业内容，用户没有便捷渠道反馈这类问题。,LinkedIn 在帖子举报菜单里加了一个选项，让用户可以把看起来像 AI 批量生成的低质内容标记给平台审核。,刷到一条疑似 AI 生成的帖子 | 点击帖子右上角的「举报」菜单 | 选择「Seems like AI」选项提交 | 平台根据举报量和其他信号决定是否降权或移除内容,未公开（被举报的对象是 AI 生成的内容，但平台如何检测 AI 生成内容的技术细节未披露）,本质上是一个用户反馈收集器：把「看起来像 AI 写的」作为一个新的举报类别，和原有的垃圾信息、虚假信息等举报并列。平台可能结合用户举报量、账号行为模式、文本特征等多维度信号，再决定如何处理被标记的内容。,AI 内容治理：平台如何让用户参与识别和过滤 AI 生成内容，而不只是靠算法自动检测 | 人机协同审核：用户举报作为数据输入，帮助平台训练或校准 AI 检测模型 | 内容生态健康度：AI 降低内容生产成本后，平台需要新的机制防止信息过载和质量稀释,打开 LinkedIn，找到任意一条帖子，点击「…」→「Report post」，查看举报选项里是否有「Seems like AI」或类似选项；同时观察平台是否对 AI 生成内容有其他标识（如作者自己标注「AI 辅助创作」）。记录你的发现，思考：如果让你设计，你会怎么区分「AI 写的」和「人写的但质量差」？,平台未公开：该按钮是否已全球上线还是灰度测试；举报后平台具体如何处理（人工复核/自动降权/删除）；是否结合 AI 检测工具做二次验证；是否向举报者反馈处理结果。,,global,7.5,AI治理 | 内容审核 | 产品功能,LinkedIn 新增「疑似 AI 垃圾内容」举报按钮,https://www.theverge.com/ai-artificial-intelligence/973384/linkedin-seems-like-ai-slop-button
product-414a7f4e384db685,Hydrogen,Susan Aziz,2026-07-31,2026-07-31,1,product_case,first_party,未公开,未公开,Shopify与Vercel合作重建Hydrogen框架，引入agentic commerce，让开发者能更快构建高性能店铺前端。,,未公开,未公开,,未公开,未公开,,global,7.5,电商 | 框架 | Agent,Shopify and Vercel are rebuilding Hydrogen for faster storefronts,https://vercel.com/blog/shopify-and-vercel-are-rebuilding-hydrogen-for-faster-storefronts
product-3e3cbda2938f9119,Lovable,Lovable Blog,2026-07-28,2026-07-31,3,product_case,first_party,使用 Lovable 构建全栈应用、需要连接数据库或第三方服务的开发者和团队,用户用 AI 生成应用后，需要连接真实数据库或 API，但担心数据泄露、权限失控、合规风险,Lovable发布App用户连接器功能，帮助用户集成外部应用数据。,用户在 Lovable 中通过自然语言描述应用需求，AI 生成前后端代码 | 用户选择连接外部数据源（如数据库、API），平台建立加密连接 | 管理员通过企业级治理面板设置权限、认证和发布控制 | 平台自动进行安全扫描，清理废弃应用，输出合规报告,AI 负责根据用户描述生成完整应用代码，并在连接数据时自动配置安全最佳实践（如认证流程）,核心思路是'分层管控'：传输层加密（防止数据被窃听）、身份层统一认证（谁有权访问）、治理层审计追踪（做了什么操作）。AI 生成代码时内置这些安全模板，而非让用户手动配置。,RAG（检索增强生成）：AI 需要查外部数据库时，如何不让敏感数据泄露给模型本身 | Function Calling（函数调用）：AI 不直接碰数据，而是调用预定义的安全函数去读写，类似'按规矩办事' | Embedding（嵌入向量）：用户数据转成向量存储时的脱敏处理，防止原始信息被还原,在 Lovable 免费版创建一个待办应用，尝试连接 Supabase 数据库，观察平台自动生成的认证流程和 API 密钥管理方式，对比你手动配置时的步骤差异（约 45 分钟）,原文未公开具体加密协议版本、第三方审计机构名称、数据驻留地域选项；AIUC-1 认证的具体覆盖范围未详细说明,,global,7.0,Agent | security | AI产品 | 数据安全 | 集成,App User Connectors,https://lovable.dev/blog/app-user-connectors
product-5b80b832ece6f5a9,Friend AI Pendant,David Imel,2026-07-31,2026-07-31,1,product_case,reported,未公开,未公开,Friend重新发布AI吊坠，新增可对话的扬声器，但价格翻倍，主打AI陪伴功能。,,未公开,未公开,,未公开,未公开,,global,7.0,AI硬件 | 可穿戴 | 消费电子,"Friend re-launches its AI pendant with a speaker that talks to you, for twice the price",https://www.theverge.com/gadgets/973163/friend-re-launches-its-ai-pendant-with-a-speaker-that-talks-to-you-for-twice-the-price
product-ee73235ee442e4fe,Inkling Small,Artificial Analysis,2026-07-31,2026-07-31,1,model_capability,first_party,未公开,未公开,Artificial Analysis发布Inkling Small模型，以不到三分之一的参数达到接近Inkling的智能指数，展示了模型效率提升。,,未公开,未公开,,未公开,未公开,,global,7.0,模型效率 | Inkling,Inkling Small Lands Within A Point Of Inkling On The Artificial Analysis Intelligence Index With Less Than A Third Of The Parameters,https://artificialanalysis.ai/articles/inkling-small-lands-within-a-point-of-inkling-on-the-artificial-analysis-intelligence-index-with-less-than-a-third-of-the-parameters
product-1e46f20bebb7b354,GPT-5.6,OpenAI News,2026-07-30,2026-07-30,1,model_capability,first_party,未公开,未公开,OpenAI发现两个API设置可大幅提升GPT-5.6在ARC-AGI-3上的表现，为AI产品优化提供新思路。,,未公开,未公开,,未公开,未公开,,global,9.0,OpenAI | ARC-AGI | 模型能力,How enabling two settings tripled our scores on the ARC-AGI-3 benchmark,https://openai.com/index/how-two-settings-tripled-our-arc-agi-3-scores
product-83c240d6cec379de,TurboFieldfare,gitpusher42,2026-07-30,2026-07-30,1,product_case,verified,想在低内存 Mac 上本地跑大语言模型的开发者和技术爱好者；需要离线 AI 但不想买高配机器的人,Gemma 4 26B 模型量化后还要 14GB，8GB 或 16GB 内存的 Mac 根本装不下，传统推理工具直接拒绝运行或卡死,TurboFieldfare 是一个专为苹果 M 系列芯片 Mac 写的推理引擎，能把 14GB 的 AI 模型塞进约 2GB 内存里运行，靠 SSD 流式加载关键部件。,下载 Mac 应用，首次运行自动从 Hugging Face 拉取 15GB 模型权重 | 启动本地 OpenAI 兼容服务，用任意客户端或代码接入 | 输入提示词，引擎自动决定从 SSD 调取哪些「专家」部件 | 收到流式返回的生成结果，支持工具调用和上下文缓存复用,Gemma 4 26B 模型负责根据输入文本逐 token 生成回复；TurboFieldfare 负责在内存和 SSD 之间调度模型的不同部件，让大模型能在小内存机器上运转,把模型拆成「公共基础部分」和「专家部分」。公共部分（约 1.35GB）和计算缓存常驻内存；生成每个词时，只从硬盘读取真正用得上的那几个专家，同时 GPU 不闲着算别的。用个小缓存记住刚读过的专家，减少重复读盘。,MoE（混合专家）：不是每次都用模型全部参数，而是按输入动态挑几个「专家」子网络，省算力——就像医院不是每次会诊都把所有科室主任叫来 | KV Cache：大模型生成句子时，会把已经算过的上下文结果存起来，避免重复计算，但这东西也吃内存 | 量化（Quantization）：把模型权重从 32 位浮点数压成 4 位，体积砍到 1/8，精度损失可控,30 分钟：在任意 Mac 上安装 TurboFieldfare，用 curl 测试它的 OpenAI 兼容接口（curl http://localhost:端口号/v1/chat/completions），对比开启/关闭工具调用时的响应差异；再用活动监视器观察内存是否真压在 2GB 左右,M1 Mac 需手动改两行 Swift 代码才能编译，且会损失 2.4 倍预填充加速；与 llama.cpp 的 mmap 方案相比，真实延迟差距未公开基准测试；DiffusionGemma 支持尚在他人项目阶段，未合并,,global,8.0,推理引擎 | 开源 | Gemma,开源引擎让 260 亿参数大模型在 2GB 内存的 Mac 上跑起来,https://github.com/drumih/turbo-fieldfare
product-aa9a1b26bd6b7895,Agnes 2.5 Pro Alpha,Artificial Analysis,2026-07-30,2026-07-30,1,model_capability,reported,未公开,未公开,Agnes AI发布Agnes 2.5 Pro Alpha模型，值得关注其能力变化。,,未公开,未公开,,未公开,未公开,,global,8.0,模型发布 | Agnes,Agnes Ai Releases Agnes 2 5 Pro Alpha,https://artificialanalysis.ai/articles/agnes-ai-releases-agnes-2-5-pro-alpha
product-713baac350b932e2,Microsoft Copilot for Word,Simon Willison,2026-07-30,2026-07-30,1,model_capability,verified,未公开,未公开,研究者发现一种针对Word Copilot的提示注入攻击，可自我复制传播。,,未公开,未公开,,未公开,未公开,,global,8.0,安全 | 提示注入 | Copilot | Word,AI Worming through Word,https://simonwillison.net/2026/Jul/29/ai-worming-through-word/#atom-everything
product-92d1b297c66cce17,ChatGPT,OpenAI News,2026-07-30,2026-07-30,1,business_policy,first_party,未公开,未公开,OpenAI向10万学术研究者免费提供ChatGPT高级模型，加速科学发现。,,未公开,未公开,,未公开,未公开,,global,8.0,OpenAI | ChatGPT | 学术,Accelerating scientific discovery with ChatGPT for Academic Researchers,https://openai.com/index/chatgpt-for-academic-researchers
product-b10fa71dd530857d,Superlogical,yan,2026-07-30,2026-07-30,1,builder_insight,first_party,未公开,未公开,Mitchell Hashimoto宣布新公司Superlogical，将基于开源libghostty构建AI终端应用。,,未公开,未公开,,未公开,未公开,,global,7.0,AI终端 | 创业,Superlogical,https://www.superlogical.com/
product-b37b5909bb539dad,openai-agents-python,seratch,2026-07-30,2026-07-30,1,model_capability,first_party,未公开,未公开,OpenAI发布agents-python v0.19.1，修复多项问题并支持原生主机路径。,,未公开,未公开,,未公开,未公开,,global,7.0,OpenAI | Agent | SDK | Python,openai/openai-agents-python released v0.19.1,https://github.com/openai/openai-agents-python/releases/tag/v0.19.1
product-6bb6c223e069384a,Copilot,Emma Roth,2026-07-30,2026-07-30,1,early_signal,reported,未公开,未公开,微软确认今年将推出Copilot超级应用，整合聊天、编码和智能体功能。,,未公开,未公开,,未公开,未公开,,global,7.0,Microsoft | Copilot | 超级应用,Microsoft confirms Copilot ‘super app’ coming this year,https://www.theverge.com/tech/972927/microsoft-copilot-super-app-confirmed
product-a1bf09633e677895,ChatGPT Work,Latent Space,2026-07-29,2026-07-29,1,builder_insight,reported,未公开,未公开,OpenAI产品负责人Akshay Nathan分享ChatGPT Work从0到1000万用户的构建历程，涵盖Sites、Memory、Subagents等关键功能。,,未公开,未公开,,未公开,未公开,,global,9.0,ChatGPT | Product | OpenAI | Scaling,"Codex from 0 to 10M Users: Building ChatGPT Work — Akshay Nathan, OpenAI",https://www.latent.space/p/chatgpt-work
product-1e7735a136a50887,Personal Computer for Windows,Jess Weatherbed,2026-07-29,2026-07-29,1,product_case,reported,需要在 Windows 电脑上自动化处理本地文件、Excel、PPT、Word、Outlook、OneDrive 等任务的用户,用户要在多个本地文件和微软应用之间手动切换、整理信息、执行重复操作，费时且容易出错,"Perplexity 推出的本地 AI 代理工具，让 Windows 电脑变成能操作本地文件和微软办公软件的""数字员工""","在 Windows 电脑上下载安装 Perplexity 的 Personal Computer 工具 | 授权 AI 访问本地文件和指定的微软应用（Excel、Word 等） | 用自然语言下达任务指令，比如""把这份 Excel 数据汇总成 PPT"" | AI 自动在后台跨应用执行操作，用户检查并确认结果","作为""通用数字员工""，理解用户指令后，自主调用本地文件和应用程序完成跨软件任务","在用户的 Windows 电脑上常驻运行一个 AI 代理（Agent，即""能自主行动的智能程序""），它通过操作系统层面的权限直接读写本地文件、操控已安装的微软办公软件，而不是把所有数据上传到云端处理","Agent（智能代理）：不只是回答问题，还能自己决定调用什么工具、执行什么动作来完成目标的 AI 程序 | 本地运行 vs 云端运行：数据留在自己电脑里处理，降低隐私泄露风险，但对电脑性能有要求 | Function Calling（函数调用）：AI 不直接动手，而是学会""调用""外部程序或 API 来完成任务，就像人学会按遥控器开空调",30 分钟体验：打开 Perplexity 官网的 Personal Computer for Windows 页面，对比它和 Mac 版的功能描述；再打开自己电脑的 Copilot 或任意 AI 助手，尝试用一句话指令让它帮你整理桌面某个文件夹的内容，观察 AI 能否直接操作本地文件——如果不行，思考还需要什么权限或工具才能实现,未公开具体技术架构（是否完全本地运行模型、还是云端模型+本地执行）；未公开定价模式；未公开支持的具体 Windows 版本和硬件要求；The Verge 报道为第三方媒体信息，非 Perplexity 官方技术白皮书,,global,8.0,Agent | Windows | Perplexity,Perplexity 把 AI 代理工具 Personal Computer 带到 Windows,https://www.theverge.com/ai-artificial-intelligence/971750/perplexity-personal-computer-windows-ai-agents
product-b314d60ff05825be,Codex（OpenAI 的编码代理）,OpenAI News,2026-07-29,2026-07-29,1,product_case,first_party,从事科学计算的科研人员（如基因组学等领域），以及需要编写、维护科研软件的工程团队,传统科学计算软件开发周期长、维护成本高，科研人员需要同时精通领域知识和编程技能，难以快速迭代实验代码,OpenAI 发布的一份实地报告，展示科学家使用 AI 编码代理（Coding Agent）来现代化科学计算流程，加速软件开发和科研发现。,科学家在本地 IDE 或云端部署 OpenAI Codex 编码代理 | 向代理描述科研计算任务（如基因组数据分析、算法实现） | 代理自动生成、重构或审查代码，并行处理多个子任务 | 科学家验证结果，将代码集成到研究流程中,AI 编码代理负责理解自然语言描述的科学任务，自动编写、调试、重构和审查科研代码，相当于一个 24 小时在线的编程助手,核心思路是让 AI 代理像人类程序员一样工作：接收任务描述后，自主规划步骤、读写代码文件、运行测试、修复错误。Agent（智能代理）指能自主决策、调用工具并完成多步骤任务的 AI 系统，不同于单次问答的聊天机器人。,Agent（智能代理）：能自主规划、调用工具、完成多步骤任务的 AI 系统，不只是回答问题，而是能动手做事 | Function Calling（函数调用）：AI 判断何时需要调用外部工具（如运行代码、查数据库）来完成任务的能力 | RAG（检索增强生成）：AI 先从外部知识库检索相关信息，再生成回答，减少编造——科研场景中对准确性要求极高,30 分钟体验：访问 OpenAI Codex（https://github.com/openai/codex），本地安装后，尝试让 Codex 完成一个简单科学计算任务，例如'用 Python 读取一个 CSV 文件，计算平均值并画出直方图'，观察它如何分解步骤、生成代码、运行并反馈结果,报告未公开具体加速倍数、参与科学家数量、实验对照组设置；未说明 Codex 在科学计算中的错误率或幻觉（编造代码/数据）情况；基因组学之外的'等领域'具体涉及哪些学科未详细展开,,global,7.0,Agent | 科学计算,OpenAI 发布报告：科学家如何用 AI 编码代理加速科学计算,https://openai.com/index/scientific-computing-agentic-ai
product-a6562e0068f741f9,Lamoom,Kate Yanchenko,2026-07-29,2026-07-29,1,product_case,reported,未公开,未公开,Lamoom让你在Claude中运行或销售代理应用。,,未公开,未公开,,未公开,未公开,,global,7.0,Agent | Claude,Lamoom,https://www.producthunt.com/products/lamoom
product-b32accde95ce8b52,Vercel Sandbox,Harpreet Arora,2026-07-29,2026-07-29,1,product_case,first_party,未公开,未公开,Vercel Sandbox新增fork功能，允许从快照分支创建新沙箱，便于代理开发和多租户场景。,,未公开,未公开,,未公开,未公开,,global,7.0,Vercel | Sandbox | Agent | Infrastructure,Vercel Sandbox supports forking,https://vercel.com/changelog/vercel-sandbox-supports-forking
